,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,NETWORTH07,TrueRiskTol
172,35,4,1,2,1,76678.293981,2,261695.5258,33.440861176369594
173,35,4,1,2,1,76678.293981,2,267909.11169,33.81234597746968
174,35,4,1,2,1,76678.293981,2,319274.75506,32.078912704717666
178,60,2,1,1,1,25559.431327,3,17605.160026,57.35598328526913
179,60,2,1,1,1,25559.431327,3,17501.600261,57.35598328526913
190,46,2,1,2,1,56443.744181,4,45669.856303,16.32566977889395
191,46,2,1,2,1,56443.744181,4,46187.655127,16.32566977889395
192,46,2,1,2,1,56443.744181,4,46498.334422,16.32566977889395
193,46,2,1,2,1,56443.744181,4,46498.334422,16.32566977889395
194,46,2,1,2,1,56443.744181,4,47430.372306,16.32566977889395
210,66,3,1,0,2,74548.341371,3,2378301.7799,0.9178317974022429
211,66,3,1,0,2,74548.341371,3,2377421.5219,0.9178317974022429
212,66,3,1,0,2,74548.341371,3,2378457.1195,0.9178317974022429
213,66,3,1,0,2,74548.341371,3,2378457.1195,0.9178317974022429
214,66,3,1,0,2,74548.341371,3,2378446.7636,0.9178317974022429
236,34,3,1,1,4,34079.241769,4,62498.318093,25.12698920573613
237,34,3,1,1,4,40469.099601,4,55042.015023,27.49394704243496
238,34,3,1,1,4,39404.123296,4,60178.57936,29.962410824407723
250,78,3,1,0,3,64963.554623,2,1442587.5245,0.563248345560396
251,78,3,1,0,3,64963.554623,2,1189901.6982,0.5685573630138789
252,78,3,1,0,3,66028.530928,2,1307959.8302,0.566215806424789
253,78,3,1,0,3,66028.530928,2,1288283.4749,0.5577600835399376
254,78,3,1,0,3,66028.530928,2,1465370.6728,0.5527315908973445
290,71,3,1,0,2,4781743.6108,3,224764042.46,0.5398647823689394
291,71,3,1,0,2,5473978.2092,3,108408433.05,0.4858045358249471
294,71,3,1,0,2,4877591.4782,3,17847489.876,0.5228209941928651
305,47,2,1,0,1,61768.625707,3,336103.21685,12.326738785534644
306,47,2,1,0,1,61768.625707,3,327849.50359,12.324649970258266
307,47,2,1,0,1,61768.625707,3,328843.67734,12.327623021947373
308,47,2,1,0,1,61768.625707,3,328098.04703,12.318088705231506
309,47,2,1,0,1,61768.625707,3,332354.35336,12.315980877450643
325,54,4,1,0,1,402561.0434,3,1168154.1476,7.548007041480501
326,54,4,1,0,1,402561.0434,3,1169189.7453,7.548007041480501
327,54,4,1,0,1,402561.0434,3,1168154.1476,7.548007041480501
328,54,4,1,0,1,403626.01971,3,1169189.7453,7.557035123356075
329,54,4,1,0,1,402561.0434,3,1169189.7453,7.548007041480501
345,36,4,1,2,1,133122.03816,2,284944.69301,26.194985768825426
346,36,4,1,2,1,134187.01447,2,287015.88831,26.35104396237661
347,36,4,1,2,1,133122.03816,2,284944.69301,26.163546989482327
348,36,4,1,2,1,133122.03816,2,285980.29066,26.125246952500746
349,36,4,1,2,1,133122.03816,2,285980.29066,26.30756492277197
350,59,4,1,1,1,1480317.0644,3,8957919.6604,2.7751317537301903
351,59,4,1,1,1,1480317.0644,3,8957919.6604,2.774162901586108
352,59,4,1,1,1,1480317.0644,3,8957919.6604,2.774162901586108
353,59,4,1,1,1,1469667.3013,3,8947563.6839,2.767395670017584
354,59,4,1,1,1,1480317.0644,3,8968275.6368,2.772966457722834
360,55,3,1,0,1,75613.317676,3,799584.94448,2.0778964531451374
362,55,3,1,0,1,74548.341371,3,799584.94448,2.2685633133488508
363,55,3,1,0,1,74548.341371,3,799584.94448,2.1345877777201645
365,49,4,2,0,1,173591.13776,3,596814.92489,10.30083447861778
367,49,4,2,0,1,134187.01447,3,670445.9177,9.1107348649876
385,61,4,1,0,1,1384469.1969,3,13322963.749,1.8714577994799304
386,61,4,1,0,1,1384469.1969,3,12070926.192,1.871406236081322
387,61,4,1,0,1,1384469.1969,3,12598045.395,1.8708914393038576
388,61,4,1,0,1,1384469.1969,3,13884257.675,1.8714577994799304
389,61,4,1,0,1,1384469.1969,3,13896684.847,1.871148647563625
390,52,4,1,0,1,101172.749,2,898277.40039,5.239746061517876
391,52,4,1,0,1,101172.749,2,938665.70869,5.23546357775324
392,52,4,1,0,1,101172.749,2,812012.11626,5.243832618982319
393,52,4,1,0,1,101172.749,2,762303.42913,5.24378037513891
394,52,4,1,0,1,101172.749,2,829203.03723,5.243761381667769
430,40,4,1,2,1,91587.962255,3,122511.20183,31.79695661164148
431,40,4,1,2,1,91587.962255,3,121061.36512,27.28901036782583
432,40,4,1,2,1,86263.080729,3,103870.44415,23.91086940507356
433,40,4,1,2,1,87328.057034,3,104181.12345,23.376537694693425
434,40,4,1,2,1,93717.914866,3,124893.07642,25.509215381130723
481,72,2,2,0,3,2037299.672,3,62625696.604,0.4552577784894796
482,72,2,2,0,3,1723131.662,3,14296425.539,0.5385267310042687
484,72,2,2,0,3,1878618.2025,3,12401281.842,0.4907693403906253
485,64,4,1,0,3,3801965.4099,3,32972393.534,1.5517095747432914
486,64,4,1,0,3,3801965.4099,3,30396862.182,1.5517095747432914
487,64,4,1,0,3,3801965.4099,3,33265467.668,1.5517095747432914
488,64,4,1,0,3,3801965.4099,3,30800745.265,1.5506966160177784
489,64,4,1,0,3,3801965.4099,3,32619254.735,1.5517095747432914
502,48,3,1,0,1,99042.796392,3,337294.15415,17.991134084272268
503,48,3,1,0,1,99042.796392,3,320621.03201,16.917601248078117
504,48,3,1,0,1,99042.796392,3,434536.77335,10.048205690432352
523,42,2,1,3,1,79873.222897,3,42065.976486,21.822744286426364
524,42,2,1,3,1,79873.222897,3,41631.025474,21.39353576275495
535,46,2,1,2,1,53248.815265,2,192983.62182,17.901508915446534
536,46,2,1,2,1,53248.815265,2,191854.82038,17.97178684076692
537,46,2,1,2,1,53248.815265,2,192942.19791,17.968207944131564
538,46,2,1,2,1,53248.815265,2,194930.5454,17.973935699052404
539,46,2,1,2,1,53248.815265,2,192010.16003,17.96105963766084
545,59,4,2,0,2,321622.8442,3,15280243.305,1.24514976871948
546,59,4,2,0,2,321622.8442,3,15187039.517,1.24514976871948
547,59,4,2,0,2,320557.86789,3,15530857.936,1.243859920552454
548,59,4,2,0,2,320557.86789,3,15186003.919,1.243859920552454
549,59,4,2,0,2,321622.8442,3,15151829.197,1.24514976871948
556,59,4,1,1,3,110757.53575,3,2051518.9419,1.971441960962072
558,59,4,1,1,3,110757.53575,3,2050483.3442,1.971441960962072
565,57,4,1,0,2,533553.12895,2,20619784.781,1.0664727176329114
566,57,4,1,0,2,532488.15265,2,20629105.16,1.0659089061158789
567,57,4,1,0,2,532488.15265,2,20631176.355,1.065905920531216
568,57,4,1,0,2,532488.15265,2,20631176.355,1.065905920531216
569,57,4,1,0,2,532488.15265,2,20631176.355,1.065905920531216
570,67,4,1,0,1,1064976.3053,3,14920890.921,0.7911171342979357
571,67,4,1,0,1,1064976.3053,3,14993382.756,0.7899612173563229
572,67,4,1,0,1,1064976.3053,3,14919855.323,0.7911171342979357
573,67,4,1,0,1,1064976.3053,3,14754159.7,0.7938258200289702
574,67,4,1,0,1,1064976.3053,3,15117654.474,0.7880193893834073
585,52,4,1,0,3,822161.70769,4,11011509.798,5.746768402473405
586,52,4,1,0,3,822161.70769,4,11000118.223,5.746768402473405
587,52,4,1,0,3,822161.70769,4,11011509.798,5.746768402473405
588,52,4,1,0,3,822161.70769,4,10990797.845,5.746768402473405
589,52,4,1,0,3,822161.70769,4,11023936.969,5.746768402473405
620,85,4,2,0,2,4323803.7995,4,70291190.398,0.4781906341930517
621,85,4,2,0,2,4164057.3537,4,51821306.336,0.4680765838134784
622,85,4,2,0,2,4281204.7473,4,69119929.458,0.4753471263803775
623,85,4,2,0,2,4206656.4059,4,86608066.95,0.4559073604203204
624,85,4,2,0,2,4206656.4059,4,64121099.608,0.4685141920342406
630,67,4,1,0,2,191695.73495,4,3496177.6617,0.8774214963378435
631,67,4,1,0,2,203410.47431,4,3268346.179,0.8326675442517169
634,67,4,1,0,2,211930.28475,4,3755077.0738,0.8195609370920565
665,54,4,1,1,1,153356.58796,3,1219623.3508,15.776085651364088
666,54,4,1,1,1,151226.63535,3,1220141.1496,15.641248289931085
667,54,4,1,1,1,153356.58796,3,1220451.8289,15.687586461628
668,54,4,1,1,1,154421.56427,3,1219209.1117,15.791469794337518
669,54,4,1,1,1,154421.56427,3,1219001.9922,15.857642371727144
680,42,4,1,0,2,124602.22772,3,300426.87786,18.24284353711372
681,42,4,1,0,2,124602.22772,3,299598.39974,18.24284353711372
682,42,4,1,0,2,124602.22772,3,301669.59504,18.24284353711372
683,42,4,1,0,2,124602.22772,3,303533.6708,18.24284353711372
684,42,4,1,0,2,124602.22772,3,301876.71457,18.24284353711372
710,39,4,1,3,2,6262060.6751,2,72361350.098,8.267562138082297
711,39,4,1,3,2,6325959.2534,2,72239149.575,8.559033392133188
715,57,4,1,0,2,271568.95785,3,2241240.4311,2.9315452404627087
716,57,4,1,0,2,272633.93416,3,2258120.6728,2.9368117235806634
717,57,4,1,0,2,271568.95785,3,2292606.0745,2.9315452404627087
718,57,4,1,0,2,271568.95785,3,2286703.1679,2.9315452404627087
719,57,4,1,0,2,271568.95785,3,2246211.2998,2.9315452404627087
740,80,4,2,0,3,1118225.1206,3,8708651.3063,0.4601969999999495
741,80,4,2,0,3,1118225.1206,3,8708547.7466,0.4601879999999374
742,80,4,2,0,3,1118225.1206,3,8708651.3063,0.4601969999999495
743,80,4,2,0,3,1118225.1206,3,8709686.904,0.4601969999999495
744,80,4,2,0,3,1118225.1206,3,8708651.3063,0.4601969999999495
763,44,2,1,1,1,108627.58314,3,244401.04507,21.27937565919961
764,44,2,1,1,1,108627.58314,3,246472.24037,20.94512770269305
780,56,4,2,0,2,415340.75906,3,2986249.3795,3.417855234501072
783,56,4,2,0,2,342922.3703,3,1832593.599,3.798045220801471
784,56,4,2,0,2,374871.65946,3,2403207.9033,3.7578825973176304
785,45,3,1,2,1,127797.15664,2,188996.57087,26.573970541830093
786,45,3,1,2,1,127797.15664,2,210744.12149,26.573970541830093
787,45,3,1,2,1,127797.15664,2,206601.73089,26.573970541830093
788,45,3,1,2,1,127797.15664,2,185889.77792,26.573970541830093
789,45,3,1,2,1,127797.15664,2,195210.15676,26.573970541830093
790,50,4,1,3,1,263049.14741,2,687947.51796,15.816248048996904
791,50,4,1,3,1,263049.14741,2,688983.11561,15.816248048996904
792,50,4,1,3,1,263049.14741,2,687843.9582,15.8134288291964
793,50,4,1,3,1,263049.14741,2,687843.9582,15.817658558886658
794,50,4,1,3,1,263049.14741,2,690018.71326,15.8134288291964
800,58,2,1,0,2,112887.48836,2,2780579.6865,1.2212375889468956
801,58,2,1,0,2,111822.51206,2,2755725.3429,1.2171467908127227
802,58,2,1,0,2,116082.41728,2,2760903.3312,1.2387836097445792
803,58,2,1,0,2,111822.51206,2,2772294.9053,1.2171467908127227
804,58,2,1,0,2,116082.41728,2,2773330.5029,1.2335111068297753
825,65,3,1,0,1,56443.744181,3,539857.05421,1.0994319800085168
826,65,3,1,0,1,35144.218075,3,548556.07446,0.9909634202902124
827,65,3,1,0,1,58573.696791,3,539028.57609,1.10423398557442
829,65,3,1,0,1,46858.957433,3,1155830.5356,1.0438396218075812
830,27,4,1,1,1,69223.459844,4,129967.5049,38.87265127435617
831,27,4,1,1,1,69223.459844,4,136698.88961,38.87265127435617
832,27,4,1,1,1,69223.459844,4,133074.29784,39.23768994133559
833,27,4,1,1,1,69223.459844,4,140841.28021,39.60272863647521
834,27,4,1,1,1,69223.459844,4,134109.89549,39.23768994133559
841,37,3,1,0,1,59638.673096,3,199766.78641,23.529363600273864
844,37,3,1,0,1,59638.673096,3,194588.79817,23.555173930551348
870,56,4,1,0,1,155486.54057,3,108012.83475,6.5197794344956925
871,56,4,1,0,1,155486.54057,3,106977.2371,6.5197794344956925
872,56,4,1,0,1,155486.54057,3,109048.4324,6.5197794344956925
873,56,4,1,0,1,156551.51688,3,101799.24886,6.538586089540481
874,56,4,1,0,1,155486.54057,3,105527.40039,6.5197794344956925
880,57,3,2,1,2,99042.796392,2,388659.79752,7.120998817571474
881,57,3,2,1,2,90522.98595,2,387002.84128,6.7755542205511965
882,57,3,2,1,2,95847.867476,2,388556.23775,6.958593602215632
883,57,3,2,1,2,87328.057034,2,389695.39517,6.665731838398253
884,57,3,2,1,2,85198.104423,2,388349.11822,6.645097988378844
890,59,4,1,0,1,100107.7727,2,779390.79033,3.0006807000298306
891,59,4,1,0,1,100107.7727,2,781461.98563,3.0006807000298306
892,59,4,1,0,1,100107.7727,2,792853.55976,3.0006807000298306
893,59,4,1,0,1,100107.7727,2,794924.75506,3.0006807000298306
894,59,4,1,0,1,100107.7727,2,787675.57152,3.0006807000298306
902,46,4,1,0,1,234294.78716,2,383564.65709,16.55225549480896
905,45,4,2,1,1,160811.4221,3,735274.3305,11.260326909176666
907,45,4,2,1,1,178916.01929,3,644866.65578,11.834347571642107
910,88,4,2,0,3,37274.170685,3,947571.84847,4.981339285714286
912,88,4,2,0,3,37274.170685,3,947571.84847,4.891339285714286
914,88,4,2,0,3,37274.170685,3,947571.84847,4.688839285714286
925,56,4,1,1,2,113952.46467,2,759610.87524,2.242252691734909
926,56,4,1,1,2,112887.48836,2,760646.47289,2.2337939751033487
927,56,4,1,1,2,113952.46467,2,759507.31548,2.241513156008987
928,56,4,1,1,2,113952.46467,2,759714.43501,2.242308842763564
929,56,4,1,1,2,113952.46467,2,758678.83736,2.241368409239658
940,51,4,1,2,1,238554.69239,2,1831972.2404,5.71334673038288
941,51,4,1,2,1,238554.69239,2,1823687.4592,5.724935916180197
942,51,4,1,2,1,238554.69239,2,1837150.2286,5.724935916180197
943,51,4,1,2,1,238554.69239,2,1855790.9863,5.724935916180197
944,51,4,1,2,1,238554.69239,2,1847506.2051,5.724935916180197
948,44,4,1,2,2,232164.83455,1,2828838.5369,4.305355599760117
955,63,4,1,0,3,5090586.7393,2,86023989.876,1.6382465392053125
956,63,4,1,0,3,5079936.9762,2,71354749.184,1.8142389884285883
957,63,4,1,0,3,5079936.9762,2,73918888.961,1.861351881264918
958,63,4,1,0,3,5090586.7393,2,69879022.534,1.8696637413144708
959,63,4,1,0,3,5079936.9762,2,74538176.355,1.76207371938682
966,47,4,1,3,2,1331220.3816,3,14438302.417,14.41643929260866
968,47,4,1,3,2,1331220.3816,3,14135907.903,14.303615819024454
969,47,4,1,3,2,1331220.3816,3,14079985.63,13.795910495154336
975,27,4,1,0,1,109692.55945,2,82537.132593,56.34298964661387
976,27,4,1,0,1,109692.55945,2,82537.132593,56.34298964661387
977,27,4,1,0,1,109692.55945,2,82537.132593,56.63639819218432
978,27,4,1,0,1,109692.55945,2,82537.132593,56.34298964661387
979,27,4,1,0,1,109692.55945,2,82537.132593,56.63639819218432
980,34,3,1,2,1,90522.98595,3,215922.10973,26.30486381099252
981,34,3,1,2,1,90522.98595,3,215922.10973,26.30486381099252
982,34,3,1,2,1,90522.98595,3,215922.10973,26.30486381099252
983,34,3,1,2,1,90522.98595,3,215922.10973,26.30486381099252
984,34,3,1,2,1,90522.98595,3,215922.10973,26.30486381099252
995,44,3,1,1,2,159746.44579,3,5918440.5617,4.152774174667817
996,44,3,1,1,2,159746.44579,3,5599165.8067,4.163285199002363
997,44,3,1,1,2,159746.44579,3,5695787.0673,4.092499944939202
998,44,3,1,1,2,159746.44579,3,5949508.4912,4.163046493143441
999,44,3,1,1,2,159746.44579,3,5831450.3592,4.15670857178284
1026,55,4,1,1,3,21299.526106,4,247611.39778,1.93322114202257
1027,55,4,1,1,3,21299.526106,4,247611.39778,2.001765857211692
1028,55,4,1,1,3,21299.526106,4,247714.95754,1.902899488473492
1029,55,4,1,1,3,21299.526106,4,247714.95754,1.8885960128831865
1030,48,4,1,3,1,161876.3984,3,614316.52515,9.394119498236474
1031,48,4,1,3,1,158681.46949,3,616387.72044,9.434575256158436
1032,48,4,1,3,1,164006.35102,3,744801.82887,9.450495694860024
1033,48,4,1,3,1,161876.3984,3,620530.11104,9.469130966316715
1034,48,4,1,3,1,160811.4221,3,685772.7629,9.440943038791149
1040,58,4,1,0,3,37274.170685,3,890717.53756,3.016151181034436
1041,58,4,1,0,3,36209.19438,3,890717.53756,2.9764965846034266
1042,58,4,1,0,3,36209.19438,3,576931.45003,2.9764965846034266
1043,58,4,1,0,3,36209.19438,3,735377.89027,2.9764965846034266
1044,58,4,1,0,3,36209.19438,3,598679.00065,2.9764965846034266
1076,43,4,1,0,1,93717.914866,2,275158.29523,20.71912694185475
1079,43,4,1,0,1,75613.317676,2,581488.07969,18.898707666242927
1087,43,3,2,2,1,125667.20402,3,1400644.7841,7.276614219199404
1088,43,3,2,2,1,124602.22772,3,1456049.2583,6.6068317853906
1112,67,3,2,0,3,71353.412455,4,1526988.7329,0.8955107732920615
1120,85,4,1,0,2,372741.70685,4,56239165.905,0.8501253570325937
1140,59,4,1,0,3,53248.815265,3,513739.28152,1.8212641527859623
1141,59,4,1,0,3,48988.910043,3,424077.2371,1.997425400034191
1142,59,4,1,0,3,47923.933738,3,515375.5258,1.750624647073403
1143,59,4,1,0,3,50053.886349,3,426738.72306,1.9473427897439184
1144,59,4,1,0,3,48988.910043,3,488967.78576,1.80509555508404
1190,40,2,1,3,1,53248.815265,3,268892.92946,23.32440412147548
1191,40,2,1,3,1,63898.578318,3,256672.8772,24.764173495440104
1192,40,2,1,3,1,56443.744181,3,229125.97975,23.762674767658865
1193,40,2,1,3,1,58573.696791,3,232439.89223,23.45825195526488
1194,40,2,1,3,1,61768.625707,3,231300.73481,24.968568006104427
1195,88,4,1,0,2,2747638.8677,1,148219913.46,0.4547414635342328
1196,88,4,1,0,2,2736989.1046,1,140790328.8,0.4506097556211594
1197,88,4,1,0,2,2736989.1046,1,125480053.17,0.4516349335445253
1198,88,4,1,0,2,2736989.1046,1,102972373.87,0.4508435478362725
1199,88,4,1,0,2,2747638.8677,1,98515368.713,0.451802794947464
1205,52,2,1,1,1,63898.578318,3,204478.75572,8.010587937813009
1206,52,2,1,1,1,64963.554623,3,203443.15807,8.069122874991443
1207,52,2,1,1,1,64963.554623,3,202407.56042,8.069122874991443
1208,52,2,1,1,1,63898.578318,3,205514.35336,8.010587937813009
1209,52,2,1,1,1,64963.554623,3,204468.39974,8.069122874991443
1210,36,4,2,0,1,51118.862654,2,45473.09275,22.81845894978583
1211,36,4,2,0,1,51118.862654,2,45369.532985,22.831164656753817
1212,36,4,2,0,1,51118.862654,2,45379.888961,22.92478918560452
1213,36,4,2,0,1,51118.862654,2,45483.448726,22.85283850814632
1214,36,4,2,0,1,51118.862654,2,45379.888961,22.85387611888836
1220,51,4,2,0,1,34079.241769,3,69395.398432,6.038572830332541
1221,51,4,2,0,1,34079.241769,3,61214.177008,5.541859638358408
1222,51,4,2,0,1,34079.241769,3,51479.559112,5.896654517360718
1223,51,4,2,0,1,34079.241769,3,48269.206401,5.541859638358408
1226,70,2,1,0,2,40362.601971,3,1405202.4494,1.3754732142999515
1227,70,2,1,0,2,37061.175424,3,1237124.951,1.3878000000049535
1240,63,4,1,0,3,106497.63053,3,2398671.9856,1.0018781930882787
1241,63,4,1,0,3,105432.65422,3,2408002.7204,0.9991343358904752
1242,63,4,1,0,3,105432.65422,3,2408002.7204,0.9991343358904752
1243,63,4,1,0,3,105432.65422,3,2398671.9856,0.9949852559773518
1244,63,4,1,0,3,105432.65422,3,2397646.744,0.9949863036020236
1250,38,4,1,3,1,95847.867476,3,112569.4644,36.07915495656217
1251,38,4,1,3,1,95847.867476,3,118783.05029,36.07915495656217
1252,38,4,1,3,1,95847.867476,3,120232.887,36.07915495656217
1253,38,4,1,3,1,95847.867476,3,101177.89027,36.07915495656217
1254,38,4,1,3,1,95847.867476,3,116608.29523,36.08761240753019
1255,39,4,1,2,1,106497.63053,2,668271.16264,14.297587102452216
1258,39,4,1,2,1,106497.63053,2,783740.30046,13.559961237236935
1265,57,4,2,0,1,26624.407632,4,163935.10777,3.25796108077832
1270,48,4,2,0,1,58573.696791,4,74418.047028,13.708589322004483
1271,48,4,2,0,1,58573.696791,4,74407.691052,13.708589322004483
1272,48,4,2,0,1,58573.696791,4,74418.047028,13.708589322004483
1273,48,4,2,0,1,58573.696791,4,74407.691052,13.708589322004483
1274,48,4,2,0,1,58573.696791,4,74407.691052,13.708589322004483
1285,47,2,1,2,3,47923.933738,4,44116.45983,7.597955143968486
1286,47,2,1,2,3,47923.933738,4,37902.873939,7.662426290243612
1287,47,2,1,2,3,47923.933738,4,31689.288047,8.311958465763608
1288,47,2,1,2,3,47923.933738,4,34796.080993,7.610772388553981
1289,47,2,1,2,3,47923.933738,4,36856.920314,8.247252495004908
1321,68,3,1,0,3,1682662.5624,3,118539684.85,0.7380990688181303
1325,59,4,1,2,1,2843486.7351,3,26432076.584,4.3389006780724095
1326,59,4,1,2,1,2843486.7351,3,28896798.988,4.3389006780724095
1327,59,4,1,2,1,2843486.7351,3,27177706.891,4.3389006780724095
1328,59,4,1,2,1,2843486.7351,3,29216798.661,4.3389006780724095
1329,59,4,1,2,1,2843486.7351,3,28988967.178,4.3389006780724095
1384,57,4,1,0,1,238554.69239,2,174291.08426,15.19351224741376
1401,60,4,1,0,1,106497.63053,3,575067.37427,4.168058232806787
1404,60,4,1,0,1,105432.65422,3,614420.08491,4.150897196359181
1419,49,4,1,4,2,2481394.7913,3,22809038.21,5.6344592948303305
1420,39,4,1,1,1,94782.891171,3,299080.60091,21.026880761365
1421,39,4,1,1,1,93717.914866,3,281475.44089,20.915480846150373
1422,39,4,1,1,1,93717.914866,3,266666.39451,20.915480846150373
1423,39,4,1,1,1,93717.914866,3,271015.90464,20.915480846150373
1424,39,4,1,1,1,93717.914866,3,266355.71522,20.915480846150373
1455,52,4,1,0,1,195955.64017,2,1605176.3553,5.872522723880553
1456,52,4,1,0,1,199150.56909,2,2133952.5147,5.56129831756272
1457,52,4,1,0,1,233229.81086,2,1969085.369,6.257034053595305
1458,52,4,1,0,1,194890.66387,2,1520536.9595,5.895075119545993
1459,52,4,1,0,1,201280.5217,2,1393293.0764,5.729978125188805
1473,62,2,2,0,2,37274.170685,3,801035.81679,0.8608769969150825
1490,65,3,2,2,1,97977.820087,4,713526.77988,1.894331847549149
1491,65,3,2,2,1,97977.820087,4,733203.13521,1.8978373510673043
1492,65,3,2,2,1,97977.820087,4,697992.81515,1.9134425792837493
1493,65,3,2,2,1,97977.820087,4,708348.79164,1.9012209186494644
1494,65,3,2,2,1,97977.820087,4,702135.20575,1.8695898175023429
1495,64,4,1,0,3,519708.43698,2,7468730.2417,0.8953489771628098
1496,64,4,1,0,3,518643.46068,2,7368277.2698,0.8944300834777426
1497,64,4,1,0,3,518643.46068,2,7444911.4958,0.8945933390498366
1498,64,4,1,0,3,519708.43698,2,7600251.143,0.8952931318967828
1499,64,4,1,0,3,519708.43698,2,7279215.872,0.8947428669080153
1510,49,4,1,3,1,250269.43174,3,1898043.3703,5.853993405770577
1511,49,4,1,3,1,250269.43174,3,1760308.8831,6.538304745518651
1512,49,4,1,3,1,250269.43174,3,1758134.128,5.387089131735651
1515,39,2,1,2,1,127797.15664,4,115158.45852,35.492173595809646
1516,39,2,1,2,1,127797.15664,4,125410.87524,34.86785349624612
1517,39,2,1,2,1,127797.15664,4,142912.47551,36.44726400995819
1518,39,2,1,2,1,127797.15664,4,163106.62965,36.002810973835935
1519,39,2,1,2,1,127797.15664,4,169941.57413,36.53993565774645
1525,68,2,1,1,3,43664.028517,3,18361.14631,1.000362212764755
1526,68,2,1,1,3,44729.004822,3,22917.775963,1.0143584151661376
1527,68,2,1,1,3,39404.123296,3,18361.14631,0.9774327049835996
1528,68,2,1,1,3,41534.075906,3,18257.586545,0.9922947139665488
1529,68,2,1,1,3,39404.123296,3,18361.14631,0.9709130493717184
1530,32,4,1,0,1,66028.530928,3,40181.188766,46.99647638533935
1531,32,4,1,0,1,66028.530928,3,40181.188766,46.99647638533935
1532,32,4,1,0,1,66028.530928,3,40284.74853,46.99647638533935
1533,32,4,1,0,1,66028.530928,3,40284.74853,46.99647638533935
1534,32,4,1,0,1,66028.530928,3,40284.74853,46.99647638533935
1535,62,4,2,0,1,91587.962255,2,798031.54801,2.79529017393817
1536,62,4,2,0,1,91587.962255,2,784568.77858,2.806572676427635
1537,62,4,2,0,1,91587.962255,2,792853.55976,2.79529017393817
1538,62,4,2,0,1,91587.962255,2,823921.48922,2.798081250860484
1539,62,4,2,0,1,91587.962255,2,767999.2162,2.809443208717314
1545,61,4,1,1,3,121407.2988,3,1694548.4324,1.4425936627096942
1546,61,4,1,1,3,120342.3225,3,1669590.5291,1.4389196510735704
